country,capture,aquaculture,total,region,iso3c,peru_or_chile
China,17800000,63700000,81500000,Eastern Asia,CHN,FALSE
Indonesia,6584419,16600000,23200000,South-Eastern Asia,IDN,FALSE
India,5082332,5703002,10800000,Southern Asia,IND,FALSE
Vietnam,2785940,3634531,6420471,South-Eastern Asia,VNM,FALSE
United States,4931017,444369,5375386,Northern America,USA,FALSE
Russia,4773413,173840,4947253,Eastern Europe,RUS,FALSE
Japan,3275263,1067994,4343257,Eastern Asia,JPN,FALSE
Philippines,2027992,2200914,4228906,South-Eastern Asia,PHL,FALSE
Peru,3811802,100187,3911989,South America,PER,TRUE
Bangladesh,1674770,2203554,3878324,Southern Asia,BGD,FALSE
Norway,2203360,1326216,3529576,Northern Europe,NOR,FALSE
South Korea,1395951,1859220,3255171,Eastern Asia,KOR,FALSE
Myanmar,2072390,1017644,3090034,South-Eastern Asia,MMR,FALSE
Chile,1829238,1050117,2879355,South America,CHL,TRUE
Thailand,1530583,962571,2493154,South-Eastern Asia,THA,FALSE
Malaysia,1584371,407887,1992258,South-Eastern Asia,MYS,FALSE
Mexico,1524467,221328,1745795,Central America,MEX,FALSE
Egypt,335614,1370660,1706274,Northern Africa,EGY,FALSE
Morocco,1454105,1142,1455247,Northern Africa,MAR,FALSE
Brazil,705000,581230,1286230,South America,BRA,FALSE
Spain,915137,283831,1198968,Southern Europe,ESP,FALSE
Ecuador,715495,451090,1166585,South America,ECU,FALSE
Iceland,1085176,15129,1100305,Northern Europe,ISL,FALSE
Iran,695407,398129,1093536,Southern Asia,IRN,FALSE
Canada,874727,200765,1075492,Northern America,CAN,FALSE
Nigeria,734731,306727,1041458,Western Africa,NGA,FALSE
United Kingdom,702405,194492,896897,Northern Europe,GBR,FALSE
Cambodia,629950,172500,802450,South-Eastern Asia,KHM,FALSE
North Korea,209000,554100,763100,Eastern Asia,PRK,FALSE
Argentina,755226,3673,758900,South America,ARG,FALSE
France,561173,166640,727813,Western Europe,FRA,FALSE
Denmark,670344,36337,706681,Northern Europe,DNK,FALSE
Pakistan,513156,156430,669586,Southern Asia,PAK,FALSE
Faroe Islands,568435,83300,651735,Northern Europe,FRO,FALSE
South Africa,622070,7994,630064,Southern Africa,ZAF,FALSE
Mauritania,609754,0,609754,Western Africa,MRT,FALSE
Turkey,335326,250331,585657,Western Asia,TUR,FALSE
Sri Lanka,521637,30974,552611,Southern Asia,LKA,FALSE
New Zealand,424791,109016,533807,Australia and New Zealand,NZL,FALSE
Uganda,389244,118051,507295,Eastern Africa,UGA,FALSE
Namibia,503878,591,504469,Southern Africa,NAM,FALSE
Angola,486490,655,487145,Middle Africa,AGO,FALSE
Senegal,474162,2079,476241,Western Africa,SEN,FALSE
Netherlands,370274,62940,433214,Western Europe,NLD,FALSE
Tanzania,370966,12547,383514,Eastern Africa,TZA,FALSE
Ghana,327457,52480,379937,Western Africa,GHA,FALSE
Italy,198130,157109,355239,Southern Europe,ITA,FALSE
Papua New Guinea,309245,6200,315445,Melanesia,PNG,FALSE
Germany,271185,41721,312906,Western Europe,DEU,FALSE
Venezuela,284175,25998,310173,South America,VEN,FALSE
Mozambique,299591,1180,300771,Eastern Africa,MOZ,FALSE
Ireland,259845,40244,300089,Northern Europe,IRL,FALSE
Oman,279606,103,279709,Western Asia,OMN,FALSE
Greenland,273175,0,273175,Northern America,GRL,FALSE
Australia,174629,96847,271477,Australia and New Zealand,AUS,FALSE
Poland,218115,38300,256415,Eastern Europe,POL,FALSE
Democratic Republic of the Congo,237372,3161,240533,Middle Africa,COD,FALSE
Cameroon,233190,2315,235505,Middle Africa,CMR,FALSE
Sweden,208783,15747,224530,Northern Europe,SWE,FALSE
Finland,192065,14412,206477,Northern Europe,FIN,FALSE
Sierra Leone,202100,75,202175,Western Africa,SLE,FALSE
Greece,76362,123410,199772,Southern Europe,GRC,FALSE
Portugal,186950,9787,196737,Southern Europe,PRT,FALSE
Kenya,171391,15360,186751,Eastern Africa,KEN,FALSE
Colombia,86344,96970,183314,South America,COL,FALSE
Laos,70915,109835,180750,South-Eastern Asia,LAO,FALSE
Kiribati,172822,3652,176474,Micronesia,KIR,FALSE
Madagascar,142333,25998,168331,Eastern Africa,MDG,FALSE
Malawi,152852,7646,160498,Eastern Africa,MWI,FALSE
Yemen,154450,0,154450,Western Asia,YEM,FALSE
Panama,144450,8808,153258,Central America,PAN,FALSE
Hong Kong,142775,4258,147033,Eastern Asia,HKG,FALSE
Tunisia,115064,16165,131229,Northern Africa,TUN,FALSE
Maldives,129191,0,129191,Southern Asia,MDV,FALSE
Guinea,128000,250,128250,Western Africa,GIN,FALSE
Seychelles,127128,0,127128,Eastern Africa,SYC,FALSE
Latvia,114806,788,115594,Northern Europe,LVA,FALSE
Zambia,83918,30285,114203,Eastern Africa,ZMB,FALSE
Lithuania,106945,4393,111338,Northern Europe,LTU,FALSE
Chad,110000,94,110094,Middle Africa,TCD,FALSE
Saudi Arabia,68082,39920,108002,Western Asia,SAU,FALSE
Mali,102486,4194,106680,Western Africa,MLI,FALSE
Ukraine,75743,21425,97168,Eastern Europe,UKR,FALSE
Algeria,95000,1361,96361,Northern Africa,DZA,FALSE
Belize,91432,953,92385,Central America,BLZ,FALSE
Federated States of Micronesia,88397,0,88397,Micronesia,FSM,FALSE
Croatia,72312,15805,88116,Southern Europe,HRV,FALSE
Republic of the Congo,86748,177,86925,Middle Africa,COG,FALSE
Solomon Islands,66445,10582,77027,Melanesia,SLB,FALSE
Estonia,75931,868,76799,Northern Europe,EST,FALSE
United Arab Emirates,73000,1241,74241,Western Asia,ARE,FALSE
Ivory Coast,67500,4701,72201,Western Africa,CIV,FALSE
Nepal,21500,49043,70543,Southern Asia,NPL,FALSE
Nicaragua,45500,22530,68030,Central America,NIC,FALSE
Saint Kitts and Nevis,65734,1,65735,Caribbean,KNA,FALSE
Uzbekistan,27267,38055,65322,Central Asia,UZB,FALSE
Marshall Islands,64795,5,64800,Micronesia,MHL,FALSE
Honduras,10600,53100,63700,Central America,HND,FALSE
El Salvador,54084,7956,62040,Central America,SLV,FALSE
Gambia,58261,5,58296,Western Africa,GMB,FALSE
Iraq,28000,28835,56835,Western Asia,IRQ,FALSE
Benin,49806,3080,52886,Western Africa,BEN,FALSE
Cuba,23574,29185,52759,Caribbean,CUB,FALSE
Uruguay,51500,70,51570,South America,URY,FALSE
Suriname,47013,102,47115,South America,SUR,FALSE
Ethiopia,45500,95,45595,Eastern Africa,ETH,FALSE
Fiji,44663,754,45417,Melanesia,FJI,FALSE
Guatemala,19011,26268,45279,Central America,GTM,FALSE
Vanuatu,44002,16,44018,Melanesia,VUT,FALSE
Kazakhstan,41335,1878,43213,Central Asia,KAZ,FALSE
Guyana,42142,337,42478,South America,GUY,FALSE
Sudan,33002,4500,37502,Northern Africa,SDN,FALSE
Costa Rica,14750,22421,37171,Central America,CRI,FALSE
Curaçao,35534,0,35534,Caribbean,CUW,FALSE
South Sudan,35000,20,35020,Northern Africa,SSD,FALSE
Niger,34592,300,34892,Western Africa,NER,FALSE
Togo,31891,98,31989,Western Africa,TGO,FALSE
Gabon,31000,45,31045,Middle Africa,GAB,FALSE
Georgia,30078,670,30748,Western Asia,GEO,FALSE
Libya,30002,10,30012,Northern Africa,LBY,FALSE
Somalia,30000,0,30000,Eastern Africa,SOM,FALSE
Central African Republic,29000,190,29190,Middle Africa,CAF,FALSE
Belgium,26970,44,27014,Western Europe,BEL,FALSE
Rwanda,25013,580,26593,Eastern Africa,RWA,FALSE
Zimbabwe,15711,10085,25796,Eastern Africa,ZWE,FALSE
Paraguay,17000,8500,25500,South America,PRY,FALSE
Romania,12728,12574,25302,Eastern Europe,ROU,FALSE
Czech Republic,3507,20952,24459,Eastern Europe,CZE,FALSE
Bulgaria,8614,15762,24376,Eastern Europe,BGR,FALSE
Burundi,21805,1330,23135,Eastern Africa,BDI,FALSE
Saint Vincent and the Grenadines,23077,0,23077,Caribbean,VCT,FALSE
Burkina Faso,22070,470,22540,Western Africa,BFA,FALSE
Hungary,5048,16248,21296,Eastern Europe,HUN,FALSE
Israel,1758,18914,20672,Western Asia,ISR,FALSE
Armenia,3758,16381,20139,Western Asia,ARM,FALSE
Cape Verde,19900,0,19900,Western Africa,CPV,FALSE
Mauritius,18062,1021,19083,Eastern Africa,MUS,FALSE
Haiti,16510,1220,17730,Caribbean,HTI,FALSE
Jamaica,16800,620,17420,Caribbean,JAM,FALSE
Dominican Republic,14640,2285,16925,Caribbean,DOM,FALSE
Comoros,16407,0,16407,Eastern Africa,COM,FALSE
French Polynesia,13754,1343,15097,Polynesia,PYF,FALSE
Turkmenistan,15000,30,15030,Central Asia,TKM,FALSE
Bahrain,15000,6,15006,Western Asia,BHR,FALSE
Liberia,14700,40,14740,Western Africa,LBR,FALSE
Qatar,14516,10,14526,Western Asia,QAT,FALSE
Brunei,13292,948,14240,South-Eastern Asia,BRN,FALSE
Trinidad and Tobago,13027,11,13038,Caribbean,TTO,FALSE
Moldova,50,16011,12061,Eastern Europe,MDA,FALSE
Belarus,686,11199,11885,Eastern Europe,BLR,FALSE
São Tomé and Príncipe,11750,0,11750,Middle Africa,STP,FALSE
Bahamas,11625,8,11633,Caribbean,BHS,FALSE
Bolivia,7000,3000,10000,South America,BOL,FALSE
Serbia,2067,6878,8945,Southern Europe,SRB,FALSE
Albania,7886,950,8836,Southern Europe,ALB,FALSE
Samoa,8801,10,8811,Polynesia,WSM,FALSE
Malta,2420,6073,8493,Southern Europe,MLT,FALSE
Cyprus,1507,6625,8132,Western Asia,CYP,FALSE
Equatorial Guinea,8000,15,8015,Middle Africa,GNQ,FALSE
Tuvalu,7684,3,7687,Polynesia,TUV,FALSE
Singapore,1234,6112,7346,South-Eastern Asia,SGP,FALSE
Isle of Man,7040,0,7040,Northern Europe,IMN,FALSE
Syria,4500,3500,7000,Western Asia,SYR,FALSE
Guinea-Bissau,6700,0,6700,Western Africa,GNB,FALSE
Kuwait,5493,196,5689,Western Asia,KWT,FALSE
New Caledonia,3815,1587,5402,Melanesia,NCL,FALSE
Lebanon,4291,1015,5306,Western Asia,LBN,FALSE
Bosnia and Herzegovina,305,4564,4869,Southern Europe,BIH,FALSE
Timor-Leste,3200,1560,4760,South-Eastern Asia,TLS,FALSE
Jersey and  Guernsey,2985,1499,4483,NA,NA,FALSE
Eritrea,4300,0,4300,Eastern Africa,ERI,FALSE
Slovakia,1866,2169,4035,Eastern Europe,SVK,FALSE
Austria,350,3483,3833,Western Europe,AUT,FALSE
Palestine,3306,280,3586,Western Asia,PSE,FALSE
Switzerland,1851,1733,3584,Western Europe,CHE,FALSE
American Samoa,3047,20,3067,Polynesia,ASM,FALSE
Antigua and Barbuda,3000,10,3010,Caribbean,ATG,FALSE
Turks and Caicos Islands,2780,0,2780,Caribbean,TCA,FALSE
Grenada,2550,0,2550,Caribbean,GRD,FALSE
Montenegro,1595,929,2524,Southern Europe,MNE,FALSE
Djibouti,2220,0,2220,Eastern Africa,DJI,FALSE
Afghanistan,1000,1200,2200,Southern Asia,AFG,FALSE
Slovenia,311,1844,2154,Southern Europe,SVN,FALSE
Saint Lucia,2097,32,2129,Caribbean,LCA,FALSE
Kyrgyzstan,89,1931,2020,Central Asia,KGZ,FALSE
Puerto Rico,1901,20,1921,Caribbean,PRI,FALSE
Barbados,1735,26,1761,Caribbean,BRB,FALSE
Jordan,873,885,1758,Western Asia,JOR,FALSE
Tonga,1697,3,1700,Polynesia,TON,FALSE
Tajikistan,1100,450,1550,Central Asia,TJK,FALSE
Guam,1391,110,1501,Micronesia,GUM,FALSE
Macao,1500,0,1500,Eastern Asia,MAC,FALSE
Azerbaijan,676,640,1316,Western Asia,AZE,FALSE
North Macedonia,306,986,1292,Southern Europe,MKD,FALSE
British Virgin Islands,1200,0,1200,Caribbean,VGB,FALSE
Lesotho,52,1050,1102,Southern Africa,LSO,FALSE
Northern Mariana Islands,950,42,992,Micronesia,MNP,FALSE
Palau,818,23,841,Micronesia,PLW,FALSE
Dominica,770,6,776,Caribbean,DMA,FALSE
US Virgin Islands,551,8,559,Caribbean,VIR,FALSE
Nauru,530,0,530,Micronesia,NRU,FALSE
Bermuda,410,0,410,Northern America,BMU,FALSE
Sint Maarten,253,0,253,Caribbean,SXM,FALSE
Eswatini,65,100,165,NA,NA,FALSE
Bhutan,7,150,157,Southern Asia,BTN,FALSE
Aruba,142,0,142,Caribbean,ABW,FALSE
Cayman Islands,125,0,125,Caribbean,CYM,FALSE
France,90,0,90,Western Europe,FRA,FALSE
Botswana,38,15,53,Southern Africa,BWA,FALSE
Mongolia,15,0,15,Eastern Asia,MNG,FALSE
Monaco,1,0,1,Western Europe,MCO,FALSE
Gibraltar,1,0,1,Southern Europe,GIB,FALSE
Andorra,0,0,0,Southern Europe,AND,FALSE
Liechtenstein,0,0,0,Western Europe,LIE,FALSE
Luxembourg,0,0,0,Western Europe,LUX,FALSE
San Marino,0,0,0,Southern Europe,SMR,FALSE
